Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Calgary Flames,Martin Pospisil,"C,LW","$2,500,000",3,UFA
Calgary Flames,Maxim Tsyplakov,"LW,RW","$2,250,000",1,UFA
Calgary Flames,Adam Klapka,"RW,LW","$1,250,000",1,RFA then UFA
Calgary Flames,Matvei Gridin,"RW,LW","$953,750",2,RFA
Calgary Flames,Samuel Honzek,"LW,C","$909,166",2,RFA
Calgary Flames,Alexander Nylander,"W,C",,0,Unsigned UFA
Calgary Flames,Brennan Othmann,LW,,4,Unsigned RFA/UFA
Calgary Flames,Simon Nemec,RD,"$7,250,000",5,UFA
Calgary Flames,Kevin Bahl,LD,"$5,350,000",5,UFA
Calgary Flames,Jacob Middleton,LD,"$4,350,000",3,UFA
Calgary Flames,Zach Whitecloud,RD,"$2,750,000",2,UFA
Calgary Flames,Joel Hanley,LD,"$1,750,000",1,UFA
Calgary Flames,Brayden Pachal,RD,"$1,187,500",1,UFA
Calgary Flames,Zayne Parekh,RD,"$953,750",2,RFA
Calgary Flames,Yan Kuznetsov,LD,"$812,500",1,UFA-Group6 then UFA
Calgary Flames,Dustin Wolf,G,"$7,500,000",7,UFA
Calgary Flames,Devin Cooley,G,"$1,350,000",2,UFA
Calgary Flames,Jonathan Castagna,C,"$1,075,000",3,RFA
Calgary Flames,Theo Stockselius,,"$1,015,833",3,RFA
Calgary Flames,Tyson Gross,,"$975,000",1,RFA then UFA
Calgary Flames,Andrew Basha,LW,"$932,500",3,RFA
Calgary Flames,Aydar Suniev,LW,"$923,333",1,RFA
Calgary Flames,Dryden Hunt,"LW,RW","$850,000",1,UFA
Calgary Flames,Ben Jones,C,"$850,000",1,UFA
Calgary Flames,Rory Kerins,"C,LW","$850,000",1,UFA-Group6 then UFA
Calgary Flames,William Strömgren,"LW,RW","$850,000",1,RFA then UFA
Calgary Flames,Sam Morton,"C,LW","$850,000",1,UFA
Calgary Flames,Axel Hurtig,D,"$990,000",3,RFA
Calgary Flames,Abram Wiebe,D,"$950,000",1,RFA
Calgary Flames,Hunter Brzustewicz,RD,"$950,000",1,RFA
Calgary Flames,Andreas Englund,D,"$900,000",1,UFA
Calgary Flames,Michael Benning,RD,"$850,000",1,UFA-Group6 then UFA
Calgary Flames,Jake Livingstone,D,"$850,000",1,UFA
Calgary Flames,Nikita Okhotyuk,D,,2,Unsigned RFA/UFA
Calgary Flames,Kirill Zarubin,G,"$1,007,500",3,RFA
Calgary Flames,Arseni Sergeyev,G,"$941,250",1,RFA then UFA
Carolina Hurricanes,Sebastian Aho,C,"$9,750,000",6,UFA
Carolina Hurricanes,Nikolaj Ehlers,LW,"$8,500,000",5,UFA
Carolina Hurricanes,Andrei Svechnikov,"LW,RW","$7,750,000",3,UFA
Carolina Hurricanes,Seth Jarvis,"RW,LW","$7,420,087",6,UFA
Carolina Hurricanes,Logan Stankoven,"C,RW","$6,000,000",8,UFA
Carolina Hurricanes,Jackson Blake,RW,"$5,117,002",8,UFA
Carolina Hurricanes,Jesperi Kotkaniemi,"C,LW","$4,820,000",4,UFA
Carolina Hurricanes,Taylor Hall,LW,"$3,166,667",2,UFA
Carolina Hurricanes,Jordan Martinook,"LW,RW","$3,125,000",1,UFA
Carolina Hurricanes,Jordan Staal,C,"$2,975,000",1,UFA
