Team,Year,Round,Status,PickValue,TradeDetails
Calgary Flames,2028,2,Acquired from Golden Knights,5.71,"Jan 18 2026 The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
Calgary Flames,2028,3,Own,2.05,
Calgary Flames,2028,4,Own,0.98,
Calgary Flames,2028,4,Acquired from Wild,0.98,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Calgary Flames,2028,5,Own,0.54,
Calgary Flames,2028,6,Own,0.29,
Calgary Flames,2028,7,Traded Away,0.14,"Jan 30 2025 | Traded Away The Calgary Flames acquired Joel Farabee and Morgan Frost from the Philadelphia Flyers for Andrei Kuzmenko, Jakob Pelletier, a 2025 2nd round pick, and 2028 7th round pick"
Calgary Flames,2029,1,Own,68.02,
Calgary Flames,2029,2,Own,5.71,
Calgary Flames,2029,2,Acquired from Wild,5.71,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
Calgary Flames,2029,3,Own,2.05,
Calgary Flames,2029,4,Own,0.98,
Calgary Flames,2029,5,Own,0.54,
Calgary Flames,2029,6,Own,0.29,
Calgary Flames,2029,7,Own,0.14,
Calgary Flames,2030,1,Own,68.02,
Calgary Flames,2030,2,Own,5.71,
Calgary Flames,2030,3,Own,2.05,
Calgary Flames,2030,4,Own,0.98,
Calgary Flames,2030,5,Own,0.54,
Calgary Flames,2030,6,Own,0.29,
Calgary Flames,2030,7,Own,0.14,
Calgary Flames,2031,1,Own,68.02,
Calgary Flames,2031,2,Own,5.71,
Calgary Flames,2031,3,Own,2.05,
Calgary Flames,2031,4,Own,0.98,
Calgary Flames,2031,5,Own,0.54,
Calgary Flames,2031,6,Own,0.29,
Calgary Flames,2031,7,Own,0.14,
Carolina Hurricanes,2027,1,Own,14.49,
Carolina Hurricanes,2027,2,Own,5.71,
Carolina Hurricanes,2027,3,Acquired from Stars,2.05,"Mar 7 2025 The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
Carolina Hurricanes,2027,3,Own,2.05,
Carolina Hurricanes,2027,4,Own,0.98,
Carolina Hurricanes,2027,5,Own,0.54,
Carolina Hurricanes,2027,6,Own,0.29,
Carolina Hurricanes,2027,7,Own,0.14,Mar 6 2026 The Carolina Hurricanes acquire Nicolas Deslauriers from the Philadelphia Flyers for a 2027 7th round pick.
Carolina Hurricanes,2028,1,Acquired from Stars,14.49,"Mar 7 2025 The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
Carolina Hurricanes,2028,1,Own,14.49,
Carolina Hurricanes,2028,2,Own,5.71,
Carolina Hurricanes,2028,3,Own,2.05,
Carolina Hurricanes,2028,4,Own,0.98,
Carolina Hurricanes,2028,5,Own,0.54,
Carolina Hurricanes,2028,6,Own,0.29,
Carolina Hurricanes,2028,7,Own,0.14,
Carolina Hurricanes,2029,1,Own,14.49,
Carolina Hurricanes,2029,2,Own,5.71,
Carolina Hurricanes,2029,3,Own,2.05,
Carolina Hurricanes,2029,4,Own,0.98,
Carolina Hurricanes,2029,5,Own,0.54,
Carolina Hurricanes,2029,6,Own,0.29,
Carolina Hurricanes,2029,7,Own,0.14,
Carolina Hurricanes,2030,1,Own,14.49,
Carolina Hurricanes,2030,2,Own,5.71,
Carolina Hurricanes,2030,3,Own,2.05,
Carolina Hurricanes,2030,4,Own,0.98,
Carolina Hurricanes,2030,5,Own,0.54,
Carolina Hurricanes,2030,6,Own,0.29,
Carolina Hurricanes,2030,7,Own,0.14,
Carolina Hurricanes,2031,1,Own,14.49,
Carolina Hurricanes,2031,2,Own,5.71,
Carolina Hurricanes,2031,3,Own,2.05,
Carolina Hurricanes,2031,4,Own,0.98,
Carolina Hurricanes,2031,5,Own,0.54,
Carolina Hurricanes,2031,6,Own,0.29,
Carolina Hurricanes,2031,7,Own,0.14,
Chicago Blackhawks,2027,1,Own,68.02,
Chicago Blackhawks,2027,1,Acquired from Panthers,31.29,Mar 1 2025 The Florida Panthers acquired Seth Jones and a 2026 4th round pick from the Chicago Blackhawks for Spencer Knight and a 2026 conditional 1st round pick (top 10 protected)
Chicago Blackhawks,2027,1,Acquired from Oilers,14.49,Mar 4 2026 The Edmonton Oilers acquire Jason Dickinson (50% retained) and Colton Dach from the Chicago Blackhawks for Andrew Mangiapane and a conditional 2027 1st round pick.
Chicago Blackhawks,2027,2,Acquired from Canucks,5.71,"Jun 26 2024 The Chicago Blackhawks acquired Ilya Mikheyev, Sam Lafferty, and a 2027 2nd round pick from the Vancouver Canucks for a 2027 4th round pick"
Chicago Blackhawks,2027,2,Own,5.71,
Chicago Blackhawks,2027,3,Own,2.05,
Chicago Blackhawks,2027,3,Acquired from Lightning,2.05,Jun 1 2026 The Tampa Bay Lightning acquire Jack Pridham from the Chicago Blackhawks for a 2027 3rd round pick
Chicago Blackhawks,2027,4,Own,0.98,"traded for Reichel/Mikheyev swap, net owned"
Chicago Blackhawks,2027,5,Traded Away,0.54,"Jun 27 2025 | Traded Away The Chicago Blackhawks acquired a 2025 1st round pick (#29) from the Carolina Hurricanes for a 2025 2nd round pick (#34), a 2025 2nd round pick (#62), a 2027 5th round pick"
Chicago Blackhawks,2027,6,Own,0.29,
Chicago Blackhawks,2027,6,Acquired from Senators,0.29,Jun 26 2026 The Ottawa Senators acquire Andre Burakovsky from the Chicago Blackhawks for a 2027 6th round pick
Chicago Blackhawks,2027,7,Own,0.14,
Chicago Blackhawks,2028,1,Own,68.02,
Chicago Blackhawks,2028,2,Own,5.71,
Chicago Blackhawks,2028,2,Acquired from Oilers,5.71,Mar 2 2026 The Edmonton Oilers acquire Connor Murphy (50% retained) from the Chicago Blackhawks for a 2028 2nd round pick.
Chicago Blackhawks,2028,3,Own,2.05,
Chicago Blackhawks,2028,4,Own,0.98,
Chicago Blackhawks,2028,4,Acquired from Sharks,0.98,"Jan 8 2026 The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
Chicago Blackhawks,2028,5,Own,0.54,
Chicago Blackhawks,2028,6,Own,0.29,
Chicago Blackhawks,2028,7,Traded Away,0.14,"Jan 8 2026 | Traded Away The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
Chicago Blackhawks,2029,1,Own,68.02,
Chicago Blackhawks,2029,2,Own,5.71,
Chicago Blackhawks,2029,3,Own,2.05,
Chicago Blackhawks,2029,4,Own,0.98,
Chicago Blackhawks,2029,5,Own,0.54,
Chicago Blackhawks,2029,6,Own,0.29,
Chicago Blackhawks,2029,7,Own,0.14,
Chicago Blackhawks,2030,1,Own,68.02,
Chicago Blackhawks,2030,2,Own,5.71,
Chicago Blackhawks,2030,3,Own,2.05,
Chicago Blackhawks,2030,4,Own,0.98,
Chicago Blackhawks,2030,5,Own,0.54,
Chicago Blackhawks,2030,6,Own,0.29,
Chicago Blackhawks,2030,7,Own,0.14,
Chicago Blackhawks,2031,1,Own,68.02,
Chicago Blackhawks,2031,2,Own,5.71,
Chicago Blackhawks,2031,3,Own,2.05,
Chicago Blackhawks,2031,4,Own,0.98,
Chicago Blackhawks,2031,5,Own,0.54,
Chicago Blackhawks,2031,6,Own,0.29,
Chicago Blackhawks,2031,7,Own,0.14,
Colorado Avalanche,2027,1,Traded Away,14.49,Mar 5 2026 | Traded Away The Colorado Avalanche acquire Nicolas Roy from the Toronto Maple Leafs for a 2027 1st round pick and a 2026 5th round pick
Colorado Avalanche,2027,2,Acquired from Wild,5.71,"Jun 27 2025 The Columbus Blue Jackets acquired Charlie Coyle and Miles Wood from the Colorado Avalanche for Gavin Brindley, a 2025 3rd round pick (#77) and a 2027 2nd round pick"
Colorado Avalanche,2027,2,Traded Away,5.71,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
Colorado Avalanche,2027,3,Acquired from Blue Jackets,2.05,"Jun 25 2026 The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
Colorado Avalanche,2027,3,Own,2.05,Dec 28 2024 The Colorado Avalanche acquired Juuso Parssinen and a 2026 7th round pick from the Nashville Predators for Ondrej Pavel and a 2027 3rd round pick
Colorado Avalanche,2027,4,Acquired from Flames,0.98,"Mar 6 2026 The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
Colorado Avalanche,2027,4,Own,0.98,
Colorado Avalanche,2027,5,Acquired from Sharks,0.54,"Dec 9 2024 The Colorado Avalanche acquired Mackenzie Blackwood, Givani Smith and a 2027 5th round pick from the San Jose Sharks for Alexandar Georgiev, Nikolai Kovalenko, a 2026 2nd round pick, and 2025 5th round pick"
Colorado Avalanche,2027,5,Traded Away,0.54,Mar 4 2026 | Traded Away The Colorado Avalanche acquire Nick Blankenburg from the Nashville Predators for a 2027 5th round pick.
Colorado Avalanche,2027,6,Own,0.29,
Colorado Avalanche,2027,7,Own,0.14,
Colorado Avalanche,2028,1,Traded Away,14.49,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
Colorado Avalanche,2028,2,Traded Away,5.71,Feb 24 2026 | Traded Away The Pittsburgh Penguins acquired Samuel Girard and a 2028 2nd round pick from the Colorado Avalanche for Brett Kulak
