Team,Year,Round,Status,PickValue,TradeDetails
Philadelphia Flyers,2028,7,Acquired from Flames,0.14,"Jan 30 2025 The Calgary Flames acquired Joel Farabee and Morgan Frost from the Philadelphia Flyers for Andrei Kuzmenko, Jakob Pelletier, a 2025 2nd round pick, and 2028 7th round pick"
Philadelphia Flyers,2028,7,Own,0.14,
Philadelphia Flyers,2029,1,Own,14.49,
Philadelphia Flyers,2029,2,Own,5.71,
Philadelphia Flyers,2029,3,Own,2.05,
Philadelphia Flyers,2029,4,Own,0.98,
Philadelphia Flyers,2029,5,Own,0.54,
Philadelphia Flyers,2029,6,Own,0.29,
Philadelphia Flyers,2029,7,Own,0.14,
Philadelphia Flyers,2030,1,Own,14.49,
Philadelphia Flyers,2030,2,Own,5.71,
Philadelphia Flyers,2030,3,Own,2.05,
Philadelphia Flyers,2030,4,Own,0.98,
Philadelphia Flyers,2030,5,Own,0.54,
Philadelphia Flyers,2030,6,Own,0.29,
Philadelphia Flyers,2030,7,Own,0.14,
Philadelphia Flyers,2031,1,Own,14.49,
Philadelphia Flyers,2031,2,Own,5.71,
Philadelphia Flyers,2031,3,Own,2.05,
Philadelphia Flyers,2031,4,Own,0.98,
Philadelphia Flyers,2031,5,Own,0.54,
Philadelphia Flyers,2031,6,Own,0.29,
Philadelphia Flyers,2031,7,Own,0.14,
Pittsburgh Penguins,2027,1,Own,14.49,
Pittsburgh Penguins,2027,2,Acquired from Rangers,5.71,Jul 1 2024 The New York Rangers acquired Reilly Smith from the Pittsburgh Penguins for a 2027 2nd round pick and conditional 2025 5th round pick
Pittsburgh Penguins,2027,2,Own,5.71,
Pittsburgh Penguins,2027,3,Acquired from Devils,2.05,"Mar 7 2025 The New Jersey Devils acquired Cody Glass and Jonathan Gruden from the Pittsburgh Penguins for Chase Stillman, Max Graham, and a 2027 3rd round pick"
Pittsburgh Penguins,2027,3,Traded Away,2.05,Jun 25 2026 | Traded Away The Pittsburgh Penguins acquire Hendrix Lapierre from the Washington Capitals for a 2027 3rd round pick and a 2028 5th round pick (SJS)
Pittsburgh Penguins,2027,4,Traded Away,0.98,Jul 13 2025 | Traded Away The Pittsburgh Penguins acquired Arturs Silovs from the Vancouver Canucks for Chase Stillman and a 2027 4th round pick
Pittsburgh Penguins,2027,5,Own,0.54,
Pittsburgh Penguins,2027,6,Own,0.29,
Pittsburgh Penguins,2027,7,Own,0.14,
Pittsburgh Penguins,2028,1,Own,14.49,
Pittsburgh Penguins,2028,2,Own,5.71,
Pittsburgh Penguins,2028,2,Acquired from Stars,5.71,Jul 10 2025 The Pittsburgh Penguins acquired Matt Dumba and a 2028 2nd round pick from the Dallas Stars for Vladislav Kolyachonok
Pittsburgh Penguins,2028,2,Acquired from Avalanche,5.71,Feb 24 2026 The Pittsburgh Penguins acquired Samuel Girard and a 2028 2nd round pick from the Colorado Avalanche for Brett Kulak
Pittsburgh Penguins,2028,3,Acquired from Sharks,2.05,Jul 1 2025 The San Jose Sharks acquired Alex Nedeljkovic from the Pittsburgh Penguins for a 2028 3rd round pick
Pittsburgh Penguins,2028,3,Own,2.05,
Pittsburgh Penguins,2028,4,Traded Away,0.98,Jul 1 2026 | Traded Away The Pittsburgh Penguins acquire Nicholas Robertson from the Toronto Maple Leafs for a 2028 4th round pick
Pittsburgh Penguins,2028,5,Traded Away,0.54,"Jun 27 2026 | Traded Away The Pittsburgh Penguins acquire a 2026 5th round pick (CAR, #160) from the Nashville Predators for a 2028 5th round pick"
Pittsburgh Penguins,2028,6,Own,0.29,
Pittsburgh Penguins,2028,7,Own,0.14,
Pittsburgh Penguins,2029,1,Own,14.49,
Pittsburgh Penguins,2029,2,Acquired from Oilers,5.71,"Dec 12 2025 The Edmonton Oilers acquired Tristan Jarry and Samuel Poulin from the Pittsburgh Penguins for Stuart Skinner, Brett Kulak, and a 2029 2nd round pick"
Pittsburgh Penguins,2029,2,Own,5.71,
Pittsburgh Penguins,2029,3,Own,2.05,
Pittsburgh Penguins,2029,4,Own,0.98,
Pittsburgh Penguins,2029,5,Own,0.54,
Pittsburgh Penguins,2029,6,Own,0.29,
Pittsburgh Penguins,2029,7,Own,0.14,
Pittsburgh Penguins,2030,1,Own,14.49,
Pittsburgh Penguins,2030,2,Own,5.71,
Pittsburgh Penguins,2030,3,Own,2.05,
Pittsburgh Penguins,2030,4,Own,0.98,
Pittsburgh Penguins,2030,5,Own,0.54,
Pittsburgh Penguins,2030,6,Own,0.29,
Pittsburgh Penguins,2030,7,Own,0.14,
Pittsburgh Penguins,2031,1,Own,14.49,
Pittsburgh Penguins,2031,2,Own,5.71,
Pittsburgh Penguins,2031,3,Own,2.05,
Pittsburgh Penguins,2031,4,Own,0.98,
Pittsburgh Penguins,2031,5,Own,0.54,
Pittsburgh Penguins,2031,6,Own,0.29,
Pittsburgh Penguins,2031,7,Own,0.14,
San Jose Sharks,2027,1,Own,31.29,
San Jose Sharks,2027,2,Traded Away,5.71,"Jan 19 2026 | Traded Away The San Jose Sharks acquired Kiefer Sherwood from the Vancouver Canucks for a 2026 2nd round pick, a 2027 2nd round pick, and Cole Clayton"
San Jose Sharks,2027,3,Traded Away,2.05,"Mar 8 2024 | Traded Away The Vegas Golden Knights acquired Tomas Hertl, a 2025 3rd round pick, and 2027 3rd round pick from the San Jose Sharks for David Edstrom and 2025 1st round pick"
San Jose Sharks,2027,4,Own,0.98,
San Jose Sharks,2027,5,Acquired from Blackhawks,0.54,Jan 16 2026 The Carolina Hurricanes acquired Kyle Masters and a 2026 4th round pick from the San Jose Sharks for a 2027 5th round pick
San Jose Sharks,2027,5,Traded Away,0.54,"Dec 9 2024 | Traded Away The Colorado Avalanche acquired Mackenzie Blackwood, Givani Smith and a 2027 5th round pick from the San Jose Sharks for Alexandar Georgiev, Nikolai Kovalenko, a 2026 2nd round pick, and 2025 5th round pick"
San Jose Sharks,2027,6,Own,0.29,
San Jose Sharks,2027,7,Traded Away,0.14,Mar 6 2025 | Traded Away The Florida Panthers acquired Nico Sturm and a 2027 7th round pick from the San Jose Sharks for a 2026 4th round pick
San Jose Sharks,2028,1,Own,31.29,
San Jose Sharks,2028,2,Own,5.71,
San Jose Sharks,2028,3,Traded Away,2.05,Jul 1 2025 | Traded Away The San Jose Sharks acquired Alex Nedeljkovic from the Pittsburgh Penguins for a 2028 3rd round pick
San Jose Sharks,2028,4,Traded Away,0.98,"Jan 8 2026 | Traded Away The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
San Jose Sharks,2028,5,Traded Away,0.54,Mar 5 2025 | Traded Away The San Jose Sharks acquired Vincent Desharnais from the Pittsburgh Penguins for a 2028 5th round pick
San Jose Sharks,2028,6,Own,0.29,
San Jose Sharks,2028,7,Acquired from Blackhawks,0.14,"Jan 8 2026 The San Jose Sharks acquired Laurent Brossoit, Nolan Allan and a 2028 7th round pick from the Chicago Blackhawks for Ryan Ellis, Jake Furlong and a 2028 4th round pick"
San Jose Sharks,2028,7,Own,0.14,
San Jose Sharks,2029,1,Own,31.29,
San Jose Sharks,2029,2,Own,5.71,
San Jose Sharks,2029,3,Own,2.05,
San Jose Sharks,2029,4,Own,0.98,
San Jose Sharks,2029,5,Own,0.54,
San Jose Sharks,2029,6,Own,0.29,
San Jose Sharks,2029,7,Own,0.14,
San Jose Sharks,2030,1,Own,31.29,
San Jose Sharks,2030,2,Own,5.71,
San Jose Sharks,2030,3,Own,2.05,
San Jose Sharks,2030,4,Own,0.98,
San Jose Sharks,2030,5,Own,0.54,
San Jose Sharks,2030,6,Own,0.29,
San Jose Sharks,2030,7,Own,0.14,
San Jose Sharks,2031,1,Own,31.29,
San Jose Sharks,2031,2,Own,5.71,
San Jose Sharks,2031,3,Own,2.05,
San Jose Sharks,2031,4,Own,0.98,
San Jose Sharks,2031,5,Own,0.54,
San Jose Sharks,2031,6,Own,0.29,
San Jose Sharks,2031,7,Own,0.14,
Seattle Kraken,2027,1,Own,31.29,
Seattle Kraken,2027,1,Acquired from Lightning,14.49,"Mar 5 2025 The Tampa Bay Lightning acquired Oliver Bjorkstrand, a 2026 5th round pick, and Kyle Aucoin from the Seattle Kraken for Michael Eyssimont, a 2025 2nd round pick, a 2026 1st round pick, and a 2027 1st round pick in a three-team trade with DET"
Seattle Kraken,2027,2,Own,5.71,
Seattle Kraken,2027,3,Own,2.05,
Seattle Kraken,2027,4,Own,0.98,
Seattle Kraken,2027,5,Own,0.54,
Seattle Kraken,2027,6,Own,0.29,
Seattle Kraken,2027,7,Own,0.14,
Seattle Kraken,2028,1,Own,31.29,
Seattle Kraken,2028,2,Own,5.71,
Seattle Kraken,2028,3,Own,2.05,
Seattle Kraken,2028,4,Own,0.98,
Seattle Kraken,2028,5,Own,0.54,
Seattle Kraken,2028,6,Own,0.29,
Seattle Kraken,2028,7,Own,0.14,
Seattle Kraken,2029,1,Own,31.29,
Seattle Kraken,2029,2,Own,5.71,
Seattle Kraken,2029,3,Own,2.05,
Seattle Kraken,2029,4,Own,0.98,
Seattle Kraken,2029,5,Own,0.54,
Seattle Kraken,2029,6,Own,0.29,
Seattle Kraken,2029,7,Own,0.14,
Seattle Kraken,2030,1,Own,31.29,
Seattle Kraken,2030,2,Own,5.71,
Seattle Kraken,2030,3,Own,2.05,
Seattle Kraken,2030,4,Own,0.98,
Seattle Kraken,2030,5,Own,0.54,
Seattle Kraken,2030,6,Own,0.29,
Seattle Kraken,2030,7,Own,0.14,
Seattle Kraken,2031,1,Own,31.29,
Seattle Kraken,2031,2,Own,5.71,
Seattle Kraken,2031,3,Own,2.05,
Seattle Kraken,2031,4,Own,0.98,
Seattle Kraken,2031,5,Own,0.54,
Seattle Kraken,2031,6,Own,0.29,
Seattle Kraken,2031,7,Own,0.14,
St. Louis Blues,2027,1,Own,31.29,
St. Louis Blues,2027,2,Traded Away,5.71,Dec 14 2024 | Traded Away The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
St. Louis Blues,2027,3,Own,2.05,
St. Louis Blues,2027,4,Own,0.98,
St. Louis Blues,2027,4,Acquired from Ducks,0.98,Dec 14 2024 The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
St. Louis Blues,2027,5,Own,0.54,
St. Louis Blues,2027,6,Own,0.29,
St. Louis Blues,2027,7,Own,0.14,
St. Louis Blues,2028,1,Own,31.29,
St. Louis Blues,2028,2,Own,5.71,
St. Louis Blues,2028,3,Traded Away,2.05,Aug 20 2024 | Traded Away The Edmonton Oilers acquired Paul Fischer and a 2028 3rd round pick from the St. Louis Blues for future considerations
St. Louis Blues,2028,4,Own,0.98,
St. Louis Blues,2028,5,Own,0.54,
St. Louis Blues,2028,6,Own,0.29,
St. Louis Blues,2028,7,Own,0.14,
St. Louis Blues,2029,1,Own,31.29,
St. Louis Blues,2029,2,Own,5.71,
St. Louis Blues,2029,3,Own,2.05,
St. Louis Blues,2029,4,Own,0.98,
St. Louis Blues,2029,5,Own,0.54,
St. Louis Blues,2029,6,Own,0.29,
St. Louis Blues,2029,7,Own,0.14,
St. Louis Blues,2030,1,Own,31.29,
St. Louis Blues,2030,2,Own,5.71,
St. Louis Blues,2030,3,Own,2.05,
St. Louis Blues,2030,4,Own,0.98,
St. Louis Blues,2030,5,Own,0.54,
St. Louis Blues,2030,6,Own,0.29,
St. Louis Blues,2030,7,Own,0.14,
St. Louis Blues,2031,1,Own,31.29,
St. Louis Blues,2031,2,Own,5.71,
St. Louis Blues,2031,3,Own,2.05,
St. Louis Blues,2031,4,Own,0.98,
St. Louis Blues,2031,5,Own,0.54,
St. Louis Blues,2031,6,Own,0.29,
St. Louis Blues,2031,7,Own,0.14,
Tampa Bay Lightning,2027,1,Traded Away,14.49,"Mar 5 2025 | Traded Away The Tampa Bay Lightning acquired Oliver Bjorkstrand, a 2026 5th round pick, and Kyle Aucoin from the Seattle Kraken for Michael Eyssimont, a 2025 2nd round pick, a 2026 1st round pick, and a 2027 1st round pick in a three-team trade with DET"
Tampa Bay Lightning,2027,2,Own,5.71,
Tampa Bay Lightning,2027,3,Traded Away,2.05,Jun 1 2026 | Traded Away The Tampa Bay Lightning acquire Jack Pridham from the Chicago Blackhawks for a 2027 3rd round pick
Tampa Bay Lightning,2027,4,Acquired from Maple Leafs,0.98,"Jul 1 2026 The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
Tampa Bay Lightning,2027,4,Own,0.98,
Tampa Bay Lightning,2027,5,Traded Away,0.54,Mar 8 2024 | Traded Away The Tampa Bay Lightning acquired Matt Dumba and a 2025 7th round pick from the Arizona Coyotes for a 2027 5th round pick
Tampa Bay Lightning,2027,6,Own,0.29,
Tampa Bay Lightning,2027,7,Own,0.14,
Tampa Bay Lightning,2028,1,Own,14.49,
Tampa Bay Lightning,2028,2,Traded Away,5.71,Mar 6 2026 | Traded Away The Tampa Bay Lightning acquire Corey Perry (50% retained) from the Los Angeles Kings for a 2028 2nd round pick.
Tampa Bay Lightning,2028,3,Acquired from Maple Leafs,2.05,"Jul 1 2026 The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
Tampa Bay Lightning,2028,3,Own,2.05,
Tampa Bay Lightning,2028,4,Own,0.98,
Tampa Bay Lightning,2028,5,Own,0.54,
Tampa Bay Lightning,2028,6,Own,0.29,
Tampa Bay Lightning,2028,7,Own,0.14,
Tampa Bay Lightning,2029,1,Own,14.49,
Tampa Bay Lightning,2029,2,Own,5.71,
Tampa Bay Lightning,2029,3,Own,2.05,
Tampa Bay Lightning,2029,4,Own,0.98,
Tampa Bay Lightning,2029,5,Own,0.54,
Tampa Bay Lightning,2029,6,Own,0.29,
Tampa Bay Lightning,2029,7,Own,0.14,
Tampa Bay Lightning,2030,1,Own,14.49,
Tampa Bay Lightning,2030,2,Own,5.71,
Tampa Bay Lightning,2030,3,Own,2.05,
Tampa Bay Lightning,2030,4,Own,0.98,
Tampa Bay Lightning,2030,5,Own,0.54,
Tampa Bay Lightning,2030,6,Own,0.29,
Tampa Bay Lightning,2030,7,Own,0.14,
Tampa Bay Lightning,2031,1,Own,14.49,
Tampa Bay Lightning,2031,2,Own,5.71,
Tampa Bay Lightning,2031,3,Own,2.05,
Tampa Bay Lightning,2031,4,Own,0.98,
Tampa Bay Lightning,2031,5,Own,0.54,
Tampa Bay Lightning,2031,6,Own,0.29,
Tampa Bay Lightning,2031,7,Own,0.14,
Toronto Maple Leafs,2027,1,Traded Away,68.02,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Brandon Carlo from the Boston Bruins for Fraser Minten, a 2026 1st round pick and a 2025 4th round pick"
Toronto Maple Leafs,2027,1,Acquired from Avalanche,14.49,Mar 5 2026 The Colorado Avalanche acquire Nicolas Roy from the Toronto Maple Leafs for a 2027 1st round pick and a 2026 5th round pick
Toronto Maple Leafs,2027,2,Own,5.71,
Toronto Maple Leafs,2027,2,Acquired from Blue Jackets,5.71,Mar 6 2026 The Seattle Kraken acquire Bobby McMann from the Toronto Maple Leafs for a conditional 2027 2nd round pick (CBJ) and a 2026 4th round pick (ANA).
Toronto Maple Leafs,2027,3,Traded Away,2.05,Jun 30 2025 | Traded Away The Toronto Maple Leafs acquired Matias Maccelli from the Utah Mammoth for a conditional 2027 3rd round pick
Toronto Maple Leafs,2027,4,Traded Away,0.98,"Jul 1 2026 | Traded Away The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
Toronto Maple Leafs,2027,5,Own,0.54,
Toronto Maple Leafs,2027,6,Own,0.29,
Toronto Maple Leafs,2027,6,Acquired from Flyers,0.29,"Mar 7 2025 The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
Toronto Maple Leafs,2027,7,Own,0.14,
Toronto Maple Leafs,2028,1,Traded Away,68.02,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
Toronto Maple Leafs,2028,2,Own,5.71,
Toronto Maple Leafs,2028,3,Traded Away,2.05,"Jul 1 2026 | Traded Away The Toronto Maple Leafs acquire Nick Paul from the Tampa Bay Lightning for Dennis Hildeby, a 2028 3rd round pick and a 2027 4th round pick"
Toronto Maple Leafs,2028,4,Traded Away,0.98,Jul 17 2025 | Traded Away The Toronto Maple Leafs acquired Dakota Joshua from the Vancouver Canucks for a 2028 4th round pick
Toronto Maple Leafs,2028,4,Acquired from Penguins,0.98,Jul 1 2026 The Pittsburgh Penguins acquire Nicholas Robertson from the Toronto Maple Leafs for a 2028 4th round pick
Toronto Maple Leafs,2028,5,Own,0.54,
Toronto Maple Leafs,2028,6,Own,0.29,
Toronto Maple Leafs,2028,7,Own,0.14,
Toronto Maple Leafs,2029,1,Own,68.02,
Toronto Maple Leafs,2029,2,Own,5.71,
Toronto Maple Leafs,2029,3,Own,2.05,
Toronto Maple Leafs,2029,4,Own,0.98,
Toronto Maple Leafs,2029,5,Own,0.54,
Toronto Maple Leafs,2029,6,Own,0.29,
Toronto Maple Leafs,2029,7,Own,0.14,
Toronto Maple Leafs,2030,1,Own,68.02,
Toronto Maple Leafs,2030,2,Own,5.71,
Toronto Maple Leafs,2030,3,Own,2.05,
Toronto Maple Leafs,2030,4,Own,0.98,
Toronto Maple Leafs,2030,5,Own,0.54,
Toronto Maple Leafs,2030,6,Own,0.29,
Toronto Maple Leafs,2030,7,Own,0.14,
Toronto Maple Leafs,2031,1,Own,68.02,
Toronto Maple Leafs,2031,2,Own,5.71,
Toronto Maple Leafs,2031,3,Own,2.05,
Toronto Maple Leafs,2031,4,Own,0.98,
Toronto Maple Leafs,2031,5,Own,0.54,
Toronto Maple Leafs,2031,6,Own,0.29,
Toronto Maple Leafs,2031,7,Own,0.14,
Utah Mammoth,2027,1,Own,14.49,
Utah Mammoth,2027,2,Own,5.71,
Utah Mammoth,2027,3,Acquired from Maple Leafs,2.05,Jun 30 2025 The Toronto Maple Leafs acquired Matias Maccelli from the Utah Mammoth for a conditional 2027 3rd round pick
Utah Mammoth,2027,3,Traded Away,2.05,"Jul 1 2026 | Traded Away The Utah Mammoth acquire Vincent Trocheck from the New York Rangers for Sean Durzi, Cole Beaudoin and a conditional 2027 3rd round pick"
Utah Mammoth,2027,4,Own,0.98,
Utah Mammoth,2027,4,Acquired from Oilers,0.98,Mar 7 2024 The Edmonton Oilers acquired Troy Stecher and a 2024 7th round pick from the Arizona Coyotes for a 2027 4th round pick
Utah Mammoth,2027,5,Own,0.54,
Utah Mammoth,2027,5,Acquired from Lightning,0.54,Mar 8 2024 The Tampa Bay Lightning acquired Matt Dumba and a 2025 7th round pick from the Arizona Coyotes for a 2027 5th round pick
Utah Mammoth,2027,6,Own,0.29,
Utah Mammoth,2027,7,Own,0.14,
Utah Mammoth,2028,1,Acquired from Panthers,31.29,Jun 26 2026 The Boston Bruins acquire John-Jason Peterka from the Utah Mammoth for a 2026 1st round pick (#23) and a conditional 2028 1st round pick (FLA)
Utah Mammoth,2028,1,Own,14.49,
Utah Mammoth,2028,2,Own,5.71,
Utah Mammoth,2028,3,Own,2.05,
Utah Mammoth,2028,4,Own,0.98,
Utah Mammoth,2028,5,Own,0.54,
Utah Mammoth,2028,6,Own,0.29,
Utah Mammoth,2028,7,Own,0.14,
Utah Mammoth,2029,1,Own,14.49,
Utah Mammoth,2029,2,Own,5.71,
Utah Mammoth,2029,3,Own,2.05,
Utah Mammoth,2029,4,Own,0.98,
Utah Mammoth,2029,5,Own,0.54,
Utah Mammoth,2029,6,Own,0.29,
Utah Mammoth,2029,7,Own,0.14,
Utah Mammoth,2030,1,Own,14.49,
Utah Mammoth,2030,2,Own,5.71,
Utah Mammoth,2030,3,Own,2.05,
Utah Mammoth,2030,4,Own,0.98,
Utah Mammoth,2030,5,Own,0.54,
Utah Mammoth,2030,6,Own,0.29,
Utah Mammoth,2030,7,Own,0.14,
Utah Mammoth,2031,1,Own,14.49,
Utah Mammoth,2031,2,Own,5.71,
Utah Mammoth,2031,3,Own,2.05,
Utah Mammoth,2031,4,Own,0.98,
Utah Mammoth,2031,5,Own,0.54,
Utah Mammoth,2031,6,Own,0.29,
Utah Mammoth,2031,7,Own,0.14,
Vancouver Canucks,2027,1,Own,68.02,
Vancouver Canucks,2027,2,Traded Away,5.71,"Jun 26 2024 | Traded Away The Chicago Blackhawks acquired Ilya Mikheyev, Sam Lafferty, and a 2027 2nd round pick from the Vancouver Canucks for a 2027 4th round pick"
Vancouver Canucks,2027,2,Acquired from Sharks,5.71,"Jan 19 2026 The San Jose Sharks acquired Kiefer Sherwood from the Vancouver Canucks for a 2026 2nd round pick, a 2027 2nd round pick, and Cole Clayton"
Vancouver Canucks,2027,2,Acquired from Stars,5.71,Mar 4 2026 The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
Vancouver Canucks,2027,3,Own,2.05,
Vancouver Canucks,2027,4,Own,0.98,
Vancouver Canucks,2027,4,Acquired from Penguins,0.98,Jul 13 2025 The Pittsburgh Penguins acquired Arturs Silovs from the Vancouver Canucks for Chase Stillman and a 2027 4th round pick
Vancouver Canucks,2027,5,Own,0.54,
Vancouver Canucks,2027,5,Acquired from Senators,0.54,Jun 27 2026 The Toronto Maple Leafs acquire a 2026 6th round pick (#161) from the Vancouver Canucks for a 2027 5th round pick (OTT)
Vancouver Canucks,2027,6,Own,0.29,
Vancouver Canucks,2027,7,Own,0.14,
Vancouver Canucks,2028,1,Own,68.02,
Vancouver Canucks,2028,2,Own,5.71,
Vancouver Canucks,2028,2,Acquired from Blue Jackets,5.71,Mar 5 2026 The Columbus Blue Jackets acquire Conor Garland from the Vancouver Canucks for a 2028 2nd round pick and a 2026 3rd round pick.
Vancouver Canucks,2028,3,Own,2.05,
Vancouver Canucks,2028,4,Own,0.98,
Vancouver Canucks,2028,4,Acquired from Maple Leafs,0.98,Jul 17 2025 The Toronto Maple Leafs acquired Dakota Joshua from the Vancouver Canucks for a 2028 4th round pick
Vancouver Canucks,2028,5,Own,0.54,
Vancouver Canucks,2028,6,Own,0.29,
Vancouver Canucks,2028,7,Own,0.14,
Vancouver Canucks,2029,1,Own,68.02,
Vancouver Canucks,2029,2,Own,5.71,
Vancouver Canucks,2029,3,Own,2.05,
Vancouver Canucks,2029,3,Acquired from Avalanche,2.05,Jun 29 2026 The Nashville Predators acquire Nils Hoglander from the Vancouver Canucks for a 2029 3rd round pick (COL)
Vancouver Canucks,2029,4,Own,0.98,
Vancouver Canucks,2029,4,Acquired from Stars,0.98,Mar 4 2026 The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
Vancouver Canucks,2029,5,Own,0.54,
Vancouver Canucks,2029,6,Own,0.29,
Vancouver Canucks,2029,7,Own,0.14,
Vancouver Canucks,2030,1,Own,68.02,
Vancouver Canucks,2030,1,Acquired from Rangers,68.02,Jul 1 2026 The New York Rangers acquire Marcus Pettersson from the Vancouver Canucks for a conditional 2030 1st round pick
Vancouver Canucks,2030,2,Own,5.71,
Vancouver Canucks,2030,3,Own,2.05,
Vancouver Canucks,2030,4,Own,0.98,
Vancouver Canucks,2030,5,Own,0.54,
Vancouver Canucks,2030,6,Own,0.29,
Vancouver Canucks,2030,7,Own,0.14,
Vancouver Canucks,2031,1,Own,68.02,
Vancouver Canucks,2031,2,Own,5.71,
Vancouver Canucks,2031,3,Own,2.05,
Vancouver Canucks,2031,4,Own,0.98,
Vancouver Canucks,2031,5,Own,0.54,
Vancouver Canucks,2031,6,Own,0.29,
Vancouver Canucks,2031,7,Own,0.14,
Vegas Golden Knights,2027,1,Traded Away,14.49,"Jan 18 2026 | Traded Away The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
Vegas Golden Knights,2027,2,Traded Away,5.71,Jun 30 2025 | Traded Away The Nashville Predators acquired Nicolas Hague and a conditional 2027 3rd round pick from the Vegas Golden Knights for Colton Sissons and Jeremy Lauzon
Vegas Golden Knights,2027,3,Acquired from Canadiens,2.05,"Jun 26 2026 The Montreal Canadiens acquire a 2026 1st round pick (DAL, #26) from the Vegas Golden Knights for a 2026 1st round pick (#28) and a 2027 3rd round pick"
Vegas Golden Knights,2027,3,Own,2.05,
Vegas Golden Knights,2027,4,Own,0.98,
Vegas Golden Knights,2027,5,Own,0.54,
Vegas Golden Knights,2027,6,Own,0.29,
Vegas Golden Knights,2027,7,Acquired from Red Wings,0.14,Jul 1 2026 The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
Vegas Golden Knights,2027,7,Traded Away,0.14,Jun 27 2026 | Traded Away The Vegas Golden Knights acquire a 2026 7th round pick (#207) from the Detroit Red Wings for a 2027 7th round pick
Vegas Golden Knights,2028,1,Acquired from Rangers,68.02,"Jun 26 2026 The New York Rangers acquire Pavel Dorofeyev from the Vegas Golden Knights for a 2026 1st round pick (DAL, #26), a 2026 3rd round pick (BUF, #92) and a conditional 2028 1st round pick"
Vegas Golden Knights,2028,1,Own,14.49,
Vegas Golden Knights,2028,2,Traded Away,5.71,"Jan 18 2026 | Traded Away The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
Vegas Golden Knights,2028,3,Acquired from Panthers,2.05,Jun 29 2026 The Florida Panthers acquire Akira Schmid from the Vegas Golden Knights for a 2028 3rd round pick
Vegas Golden Knights,2028,3,Traded Away,2.05,Mar 3 2026 | Traded Away The Vegas Golden Knights acquire Cole Smith from the Nashville Predators for a 2028 3rd round pick and Christoffer Sedoff.
Vegas Golden Knights,2028,4,Own,0.98,
Vegas Golden Knights,2028,5,Own,0.54,
Vegas Golden Knights,2028,6,Own,0.29,
Vegas Golden Knights,2028,7,Own,0.14,
Vegas Golden Knights,2029,1,Own,14.49,
Vegas Golden Knights,2029,2,Traded Away,5.71,"Mar 5 2026 | Traded Away The Vegas Golden Knights acquire Nic Dowd from the Washington Capitals for Jesper Vikman, a 2029 2nd round pick and a 2027 3rd round pick (SJS)."
Vegas Golden Knights,2029,3,Acquired from Red Wings,2.05,Jul 1 2026 The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
Vegas Golden Knights,2029,3,Own,2.05,
Vegas Golden Knights,2029,4,Own,0.98,
Vegas Golden Knights,2029,5,Own,0.54,
Vegas Golden Knights,2029,6,Own,0.29,
Vegas Golden Knights,2029,7,Own,0.14,
Vegas Golden Knights,2030,1,Own,14.49,
Vegas Golden Knights,2030,2,Own,5.71,
Vegas Golden Knights,2030,3,Own,2.05,
Vegas Golden Knights,2030,4,Own,0.98,
Vegas Golden Knights,2030,5,Own,0.54,
Vegas Golden Knights,2030,6,Own,0.29,
Vegas Golden Knights,2030,7,Own,0.14,
Vegas Golden Knights,2031,1,Own,14.49,
Vegas Golden Knights,2031,2,Own,5.71,
Vegas Golden Knights,2031,3,Own,2.05,
Vegas Golden Knights,2031,4,Own,0.98,
Vegas Golden Knights,2031,5,Own,0.54,
Vegas Golden Knights,2031,6,Own,0.29,
